"id","name","year","bbe","gb_rate","air_rate","fb_rate","ld_rate","pu_rate","pull_rate","straight_rate","oppo_rate","pull_gb_rate","straight_gb_rate","oppo_gb_rate","pull_air_rate","straight_air_rate","oppo_air_rate"
9999,"League",2020,43972,0.43668698262530703,0.563313017374693,0.24015282452469752,0.24956790684981353,0.07359228600018193,0.3811516419539707,0.36875739106704264,0.25006822523424,0.21215773674156282,0.16928954789411443,0.055239697989629764,0.1689939052124079,0.1994678431729282,0.19482852724461022
9999,"League",2016,128821,0.46119033387413544,0.5387941407068723,0.21229457929995885,0.25677490471274095,0.06972465669417253,0.36929537885903696,0.3709488359817111,0.25697673515964015,0.21241878265189681,0.1809177075166316,0.06625472554940577,0.15687659620714015,0.19003112846507947,0.1907220096102344
9999,"League",2015,130475,0.4701590342977582,0.5298333013987354,0.19791530944625407,0.26499329373443187,0.06692469821804943,0.3603372293542824,0.38009580379383023,0.2556121862425752,0.21171105575780802,0.1888637670051734,0.06749185667752443,0.1486261735964744,0.19123203678865683,0.18812032956505076
9999,"League",2025,17792,0.4310926258992806,0.5687949640287769,0.26652428057553956,0.2310026978417266,0.07126798561151079,0.3895571043165468,0.36359037769784175,0.2467963129496403,0.21194919064748202,0.1664793165467626,0.05266411870503597,0.17760791366906475,0.19711106115107915,0.19413219424460432
9999,"League",2024,124203,0.42740513514166323,0.5725707108523949,0.26432533835736655,0.23727285170245485,0.07097252079257345,0.38675394314147,0.3669557096044379,0.24626619324815022,0.20906097276233263,0.16513288728935693,0.05321127508997367,0.17769297037913737,0.20182282231508097,0.19305491815817655
9999,"League",2018,126284,0.44497323493079094,0.5550188464096798,0.23108232238446677,0.25007918659529316,0.07385733742991986,0.3671011371195084,0.378005131291375,0.2506889233790504,0.2033670140318647,0.17923885844604226,0.06010262582749992,0.16373412308764373,0.19876627284533271,0.1905862975515505
9999,"League",2022,124267,0.43567479700966466,0.5643091086129061,0.25689040533689556,0.23683681106005616,0.07058189221595436,0.3790064940812927,0.37007411460806167,0.250911344121931,0.20842218770872395,0.17154996901832345,0.05570264028261727,0.17058430637256877,0.19852414558973822,0.19520870383931374
9999,"League",2017,127556,0.4533067829031955,0.5466853774028662,0.22387030010348397,0.25139546552102604,0.07141961177835618,0.3486547085201794,0.3938975822383894,0.2552682743265703,0.18804289880523065,0.20092351594593746,0.06296842171281633,0.16061180971494873,0.19297406629245192,0.19229985261375396
9999,"League",2021,121706,0.4388937275072716,0.5610734064056003,0.2563143969894664,0.23597850557901828,0.06878050383711568,0.3716414967216078,0.37275894368395973,0.2555584769855225,0.20372865758467126,0.17435459221402397,0.060794044665012405,0.16791283913693653,0.19840435146993576,0.19476443232051008
9999,"League",2023,124234,0.43063090619315164,0.5693529951543056,0.2615467585363105,0.23927427274337137,0.0685319638746237,0.388589275077676,0.36384564611941983,0.2475570294766328,0.21250221356472462,0.16572757860167103,0.05240111402675596,0.17608706151295136,0.1981180675177488,0.19515591544987684
9999,"League",2019,125755,0.4384716313466661,0.5614965607729314,0.23750149099439385,0.25113116774680927,0.07286390203172836,0.3723112401097372,0.37615204166832333,0.25146515049103413,0.2037771857977814,0.17727326945250685,0.057413224126277286,0.1685340543119558,0.19887877221581649,0.19405192636475685
